Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Eternity for Men by Calvin Klein cologne EDT 67  68 oz New In Box",223280,223280,0,5582,5582,0,1,1,0,1,1,0
"Black Kenneth Cole Cologne for Men 33  34 oz Brand New In Box",222360,222360,0,9265,9265,0,1,1,0,1,1,0
"Curve Cologne for Men by Liz Claiborne  67  68 oz Spray EDC New in Box",218922,218922,0,6634,6634,0,1,1,0,1,1,0
"212 VIP by Carolina Herrera  Cologne for Men  34 oz  BRAND NEW IN BOX",217769,217769,0,3691,3691,0,1,1,0,1,1,0
"Y by Yves Saint Laurent YSL 33  34 oz EDP Cologne for Men New In Box",210956,210956,0,2293,2293,0,1,1,0,1,1,0
"Light Blue by Dolce  Gabbana DG 33  34 oz EDT Perfume for Women New In Box",208335,0,208335,4845,0,4845,1,0,1,1,0,1
"The One by Dolce  Gabbana DG Cologne for Men 33  34 oz Brand New In Box",200711,200711,0,3787,3787,0,1,1,0,1,1,0
"Pleasures by Estee Lauder 34 oz EDP Perfume for Women New In Box",200634,0,200634,5901,0,5901,1,0,1,1,0,1
"Burberry London Classic by Burberry 33  34 oz EDT Cologne for Men New In Box",198016,198016,0,6188,6188,0,1,1,0,1,1,0
"Burberry Weekend by Burberry 33  34 oz EDP Perfume for Women New In Box",195874,0,195874,5761,0,5761,1,0,1,1,0,1
"Light Blue eau Intense by Dolce  Gabbana DG EDP Perfume for Women 33  34 oz",195468,0,195468,3759,0,3759,1,0,1,1,0,1
"White Diamonds by Elizabeth Taylor 33 34 oz EDT Perfume for Women New Tester",194921,0,194921,10259,0,10259,1,0,1,1,0,1
"Acqua Di Gioia by Giorgio Armani 34 oz EDP Perfume for Women New In Box",183747,0,183747,2663,0,2663,1,0,1,1,0,1
"Marc Jacobs Daisy Dream by Marc Jacobs 34 oz EDT Perfume for Women New In Box",179104,0,179104,3088,0,3088,1,0,1,1,0,1
"Versace Dylan Blue by Gianni Versace 34 oz EDT Cologne for Men New Tester",173594,173594,0,4234,4234,0,1,1,0,1,1,0
